"y","x"
11,10.92
7,9.08
9,11.15
9,9.36
12,9.11
13,7.67
8,9.85
10,10.32
7,9.29
15,11.24
17,10.62
11,10.1
8,11.81
5,8.5
16,10.29
4,10.85
12,9
9,9.74
15,9.94
8,9.55
16,10.07
10,9.85
12,9.17
7,10.76
4,9.42
11,9.37
11,10.48
13,11.7
10,8.24
6,10.2
13,10.4
7,10.03
9,12.56
6,11.26
12,9.47
8,9.37
14,10.91
8,11.01
16,10.72
12,9.4
15,10.54
10,9.92
13,11.85
11,9.15
10,10.03
8,8.97
4,9.02
15,10
11,9.77
9,9.5
9,11.55
14,10.09
10,11.32
10,9.02
10,9.75
6,8.6
14,11.44
10,9.02
10,11.47
11,9.01
7,9.91
7,7.12
12,9.75
10,10.01
9,8.08
10,9.71
11,9.65
11,8.16
10,10.9
8,8.79
7,9.78
8,10.56
7,9.47
6,10.74
10,10.13
10,11.49
14,9.34
5,8.84
8,10.36
15,9.81
9,9.7
11,10.5
11,10.48
9,10.02
7,10.63
5,10.75
11,10.83
10,10.97
17,11.29
9,9.86
6,9.56
6,8.77
12,9.76
4,9.07
11,10.41
12,9.8
18,9.44
6,9.02
11,10.06
12,9.4
